quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT13255,0.0,0.0,0.0,0.0,13.0,676,0.08,0.0,0.0,0.0,2.0,2.0,656,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,800,0.0,6.0,0.0,0.0,0.0,Residential,615000.0,270000.0,345000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Construction,295597.1,18782.39,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3784.48,0,Trades/Construction,0,1203,2021-03-09 16:32:05,2022-06-01 09:49:37,2021-03-10 12:44:41,,2023-04-05 04:08:48,2023-04-05 04:08:48,0.0,Funded,NZL,195.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT13254,0.0,0.0,1.0,4.0,3.0,585,0.17,0.0,0.0,0.0,1.0,5.0,689,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,560000.0,275000.0,285000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,79607.72,24762.38,0.0,1131.8223157894736,1131.8223157894736,0.0,0.0,1131.8223157894736,682741.67,655025.67,0.0,372907.53,282118.14,566945.92,510105.91,506.96,419538.13,91074.74,324135.49,315415.49,506.95,230513.06,85409.38,0.0,26202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123652.0,0.0,9721.0,6661.0,0.0,0.0,0.0,0.0,0.0,1779.0,46911.0,11799.0,0.0,0.0,0.0,0.0,30699.72,171846.83,168046.27,229438.16,233953.97,0.0,0.0,0.0,5455.6,21504.6,0.0,21504.6,0.0,0.0,21504.6,42714.2,5662.2,62962.6,0.0,566.0,20.0,20.0,81.97999999999999,12.0,0.0,37051.8,-1.6,-1.4,6140.0,0.0,6140.0,5455.6,0.0,0.0,0.0,0.0,288.0,-288.0,17983.8,5662.2,41458.0,0.0,0.0,0.0,0.0,1.66,0.0,122.0,12321.6,-0.6,-1.4,2777.31,Architectural Services,B2B Service Provider,Xero,2387,2022-08-26 11:22:22,2022-08-26 11:20:34,2022-06-20 11:26:09,,2023-04-05 03:26:05,2023-04-05 03:26:05,0.0,Funded,NZL,161.48,0.0,0.0,0.0,13091.74,27277.81,213570.52,783.48,213570.52,38550.19,0.0,279398.52,28311.13,-30197.96,-5216.5,-35414.46,314812.98,107523.12,646138.4,314812.98
FT13253,0.0,0.0,1.0,4.0,3.0,585,0.17,0.0,0.0,0.0,1.0,5.0,689,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,560000.0,275000.0,285000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,79607.72,24762.38,0.0,1131.8223157894736,1131.8223157894736,0.0,0.0,1131.8223157894736,682741.67,655025.67,0.0,372907.53,282118.14,566945.92,510105.91,506.96,419538.13,91074.74,324135.49,315415.49,506.95,230513.06,85409.38,0.0,26202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123652.0,0.0,9721.0,6661.0,0.0,0.0,0.0,0.0,0.0,1779.0,46911.0,11799.0,0.0,0.0,0.0,0.0,30699.72,171846.83,168046.27,229438.16,233953.97,0.0,0.0,0.0,5455.6,21504.6,0.0,21504.6,0.0,0.0,21504.6,42714.2,5662.2,62962.6,0.0,566.0,20.0,20.0,81.97999999999999,12.0,0.0,37051.8,-1.6,-1.4,6140.0,0.0,6140.0,5455.6,0.0,0.0,0.0,0.0,288.0,-288.0,17983.8,5662.2,41458.0,0.0,0.0,0.0,0.0,1.66,0.0,122.0,12321.6,-0.6,-1.4,2845.24,Architectural Services,B2B Service Provider,Xero,2387,2022-08-26 11:22:22,2022-08-26 11:20:34,2022-06-20 11:26:09,,2023-04-05 03:26:05,2023-04-05 03:26:05,0.0,Funded,NZL,165.43,0.0,0.0,0.0,13023.81,27277.81,213570.52,783.48,213570.52,38550.19,0.0,279398.52,28311.13,-30197.96,-5216.5,-35414.46,314812.98,107523.12,646138.4,314812.98
FT13252,0.0,0.0,1.0,4.0,3.0,585,0.17,0.0,0.0,0.0,1.0,5.0,689,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,560000.0,275000.0,285000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,79607.72,24762.38,0.0,1131.8223157894736,1131.8223157894736,0.0,0.0,1131.8223157894736,682741.67,655025.67,0.0,372907.53,282118.14,566945.92,510105.91,506.96,419538.13,91074.74,324135.49,315415.49,506.95,230513.06,85409.38,0.0,26202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123652.0,0.0,9721.0,6661.0,0.0,0.0,0.0,0.0,0.0,1779.0,46911.0,11799.0,0.0,0.0,0.0,0.0,30699.72,171846.83,168046.27,229438.16,233953.97,0.0,0.0,0.0,5455.6,21504.6,0.0,21504.6,0.0,0.0,21504.6,42714.2,5662.2,62962.6,0.0,566.0,20.0,20.0,81.97999999999999,12.0,0.0,37051.8,-1.6,-1.4,6140.0,0.0,6140.0,5455.6,0.0,0.0,0.0,0.0,288.0,-288.0,17983.8,5662.2,41458.0,0.0,0.0,0.0,0.0,1.66,0.0,122.0,12321.6,-0.6,-1.4,3881.25,Architectural Services,B2B Service Provider,Xero,2387,2022-08-26 11:22:22,2022-08-26 11:20:34,2022-06-20 11:26:09,,2023-04-05 03:26:05,2023-04-05 03:26:05,0.0,Funded,NZL,225.67,0.0,0.0,0.0,11987.8,27277.81,213570.52,783.48,213570.52,38550.19,0.0,279398.52,28311.13,-30197.96,-5216.5,-35414.46,314812.98,107523.12,646138.4,314812.98
FT13251,0.0,0.0,1.0,4.0,3.0,585,0.17,0.0,0.0,0.0,1.0,5.0,689,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,560000.0,275000.0,285000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,79607.72,24762.38,0.0,1131.8223157894736,1131.8223157894736,0.0,0.0,1131.8223157894736,682741.67,655025.67,0.0,372907.53,282118.14,566945.92,510105.91,506.96,419538.13,91074.74,324135.49,315415.49,506.95,230513.06,85409.38,0.0,26202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123652.0,0.0,9721.0,6661.0,0.0,0.0,0.0,0.0,0.0,1779.0,46911.0,11799.0,0.0,0.0,0.0,0.0,30699.72,171846.83,168046.27,229438.16,233953.97,0.0,0.0,0.0,5455.6,21504.6,0.0,21504.6,0.0,0.0,21504.6,42714.2,5662.2,62962.6,0.0,566.0,20.0,20.0,81.97999999999999,12.0,0.0,37051.8,-1.6,-1.4,6140.0,0.0,6140.0,5455.6,0.0,0.0,0.0,0.0,288.0,-288.0,17983.8,5662.2,41458.0,0.0,0.0,0.0,0.0,1.66,0.0,122.0,12321.6,-0.6,-1.4,6365.25,Architectural Services,B2B Service Provider,Xero,2387,2022-08-26 11:22:22,2022-08-26 11:20:34,2022-06-20 11:26:09,,2023-04-05 03:26:05,2023-04-05 03:26:05,0.0,Funded,NZL,370.1,0.0,0.0,0.0,9503.8,27277.81,213570.52,783.48,213570.52,38550.19,0.0,279398.52,28311.13,-30197.96,-5216.5,-35414.46,314812.98,107523.12,646138.4,314812.98
FT13250,0.0,0.0,0.0,0.0,13.0,676,0.08,0.0,0.0,0.0,2.0,2.0,656,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,800,0.0,6.0,0.0,0.0,0.0,Residential,615000.0,270000.0,345000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Construction,295597.1,10800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7982.39,0,Trades/Construction,0,1203,2021-03-09 16:32:05,2022-06-01 09:49:37,2021-03-10 12:44:41,,2023-04-05 02:36:05,2023-04-05 02:36:05,0.0,Funded,NZL,398.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT13249,0.0,0.0,0.0,2.0,7.0,677,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,54530.78,0.0,0.0,82.01463157894737,44.3961052631579,0.103578947368421,69.19263157894737,-24.69294736842105,793647.11,574373.57,116.35,443394.25,131095.67,634144.52,538028.84,78520.89,616969.96,-420.23,561158.35,485215.6,28509.81,470686.07,43039.34,6466.0,13058.0,16881.0,1647.0,12373.0,0.0,0.0,0.0,0.0,507.0,0.0,0.0,0.0,8463.0,27699.0,4505.0,1956.0,1240.0,1922.0,276.0,92.0,184.0,299.0,0.0,0.0,0.0,3594.826,2740.29,128678.03,124527.13,120963.28,114407.8,116972.31,124793.95,1160.2,2014.8,-854.6,-600.2,1558.2,714.8,843.6,2.0,1314.6,-469.2,8251.6,10186.6,47855.6,0.0,132.4,10.84,6.0200000000000005,2.3600000000000003,31.8,30.2,-1935.0,0.2,-0.6,19570.4,20400.6,-830.2,254.2,10912.0,4286.6,6625.4,1.4,7884.4,-1257.6,7647.6,9668.0,48324.8,0.0,40.8,12.14,2.3,6.24,4.4,5.0,-2020.2,0.2,-0.6,5764.95,Pest Control Services,B2B Service Provider,Xero,2507,2022-08-17 11:24:06,2022-08-17 11:22:37,,,2023-04-05 09:55:43,2023-04-05 09:55:43,0.0,Funded,NZL,387.84,0.0,0.0,0.0,0.0,1557.42,41257.95,8967.72,46515.61,125125.82,100000.0,273198.85,50932.8,80459.5,-46539.0,33920.5,239278.35,-2345.83,241524.18,239278.35
FT13248,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1150301.29,51977.63,21251.71,152.89473684210526,152.89473684210526,0.0,205.0506315789474,-52.15589473684211,2449076.78,1744658.04,7800.0,1292462.3,459995.74,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,0.0,9375.0,3105.0,7829.0,16253.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14006.0,157987.0,24620.0,27441.0,15457.0,8038.0,318.0,1385.0,504.0,15857.0,3958.0,0.0,0.0,9268.344,16587.092,218544.74,307050.57,164040.57,196224.19,164990.98,147083.77,16587.0,9775.6,6811.4,39817.8,2905.0,0.0,2905.0,0.0,3896.0,-991.0,71254.0,6798.4,88716.0,0.0,112.0,20.0,6.82,2.68,147.2,10.4,64455.6,0.2,-0.4,61410.2,43709.0,17701.2,33006.4,64419.2,2461.0,61958.4,0.0,20464.6,41493.6,84493.2,10520.4,89707.0,0.0,178.6,19.24,12.88,111.02,8.2,2.8,73972.8,0.2,-0.4,2431.22,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-04-05 09:13:05,2023-04-05 09:13:05,0.0,Funded,NZL,135.81,0.0,0.0,0.0,11713.11,199089.4,356269.7,132687.01,390123.01,205509.12,315.0,795036.53,33991.52,488380.84,-136924.1,351456.74,443579.79,-4954.81,448534.6,443579.79
FT13247,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1150301.29,51977.63,21251.71,152.89473684210526,152.89473684210526,0.0,205.0506315789474,-52.15589473684211,2449076.78,1744658.04,7800.0,1292462.3,459995.74,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,0.0,9375.0,3105.0,7829.0,16253.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14006.0,157987.0,24620.0,27441.0,15457.0,8038.0,318.0,1385.0,504.0,15857.0,3958.0,0.0,0.0,9268.344,16587.092,218544.74,307050.57,164040.57,196224.19,164990.98,147083.77,16587.0,9775.6,6811.4,39817.8,2905.0,0.0,2905.0,0.0,3896.0,-991.0,71254.0,6798.4,88716.0,0.0,112.0,20.0,6.82,2.68,147.2,10.4,64455.6,0.2,-0.4,61410.2,43709.0,17701.2,33006.4,64419.2,2461.0,61958.4,0.0,20464.6,41493.6,84493.2,10520.4,89707.0,0.0,178.6,19.24,12.88,111.02,8.2,2.8,73972.8,0.2,-0.4,5173.97,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-04-05 09:13:05,2023-04-05 09:13:05,0.0,Funded,NZL,289.02,0.0,0.0,0.0,8970.36,199089.4,356269.7,132687.01,390123.01,205509.12,315.0,795036.53,33991.52,488380.84,-136924.1,351456.74,443579.79,-4954.81,448534.6,443579.79
FT13246,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1150301.29,51977.63,21251.71,152.89473684210526,152.89473684210526,0.0,205.0506315789474,-52.15589473684211,2449076.78,1744658.04,7800.0,1292462.3,459995.74,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,0.0,9375.0,3105.0,7829.0,16253.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,14006.0,157987.0,24620.0,27441.0,15457.0,8038.0,318.0,1385.0,504.0,15857.0,3958.0,0.0,0.0,9268.344,16587.092,218544.74,307050.57,164040.57,196224.19,164990.98,147083.77,16587.0,9775.6,6811.4,39817.8,2905.0,0.0,2905.0,0.0,3896.0,-991.0,71254.0,6798.4,88716.0,0.0,112.0,20.0,6.82,2.68,147.2,10.4,64455.6,0.2,-0.4,61410.2,43709.0,17701.2,33006.4,64419.2,2461.0,61958.4,0.0,20464.6,41493.6,84493.2,10520.4,89707.0,0.0,178.6,19.24,12.88,111.02,8.2,2.8,73972.8,0.2,-0.4,1861.97,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-04-05 09:13:05,2023-04-05 09:13:05,0.0,Funded,NZL,112.51,0.0,0.0,0.0,12282.36,199089.4,356269.7,132687.01,390123.01,205509.12,315.0,795036.53,33991.52,488380.84,-136924.1,351456.74,443579.79,-4954.81,448534.6,443579.79
