quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT4584,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,194.67,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,-110.0,Completed,NZL,49.81,8.0,3.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4583,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,193.68,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,-110.0,Completed,NZL,49.76,8.0,3.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4582,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,321.3,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,-104.0,Completed,NZL,56.19,8.0,3.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4581,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,206.82,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,-110.0,Completed,NZL,50.42,8.0,3.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4580,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,208.26,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,-73.0,Completed,NZL,46.88,6.0,2.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4579,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,2704.87,0.0,0.0,279.7422028985507,223.71457971014493,0.0,276.31571014492755,-52.60113043478261,,,,,,,,,,,,,,,,0.0,0.0,320.0,7624.0,217.0,1352.0,23608.0,12993.0,0.0,0.0,0.0,0.0,0.0,5903.0,13048.0,4245.0,5918.0,2411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.631,192.484,20822.5,19606.61,46291.38,23441.77,56140.15,79534.06,192.5,276.6,-84.1,416.2,585.2,18.5,566.6,0.0,103.6,463.1,3299.5,4626.6,-1866.4,4.5,12.6,9.68,7.909999999999999,29.77,17.5,117.4,-1327.2,0.1,0.1,1960.7,2082.3,-121.6,500.3,1427.5,226.4,1201.1,0.0,1044.8,156.2,2724.2,4611.4,-2329.4,10.7,12.4,8.41,1.09,8.05,5.7,10.9,-1887.2,0.1,0.1,1080.41,0,Other,Xero,1171,2020-09-29 11:39:40,,,,2020-12-10 21:59:30,2020-12-10 21:59:30,39.0,Completed,NZL,99.0,3.0,2.0,0.0,0.0,-206.37,-4295.71,524.22,34880.6,0.0,38585.0,73259.23,52447.04,59957.0,119087.72,179044.72,-105785.49,-105785.49,0.0,-105785.49
FT4578,0.0,0.0,0.0,7.0,15.0,0,9.11,0.0,0.0,0.0,10.0,5.0,0,5.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,46849.33,8967.82,0.0,277.8834782608696,178.80002898550725,0.0,82.83168115942028,95.96834782608695,93022.77,28454.08,0.0,43631.9,-15177.82,79157.69,25149.09,0.0,32541.09,-7392.0,3211.5,1172.71,0.0,4610.54,-3437.83,0.0,5497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19381.0,9380.0,1974.0,27.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.8979999999999,514.044,37070.7,38263.68,33017.37,32363.38,8903.9,9296.22,514.0,578.9,-64.9,4.0,1708.5,0.0,1708.5,0.0,296.0,1412.5,3179.1,948.9,5207.9,3.3,51.8,10.0,8.27,32.55,5.8,9.9,2230.1,0.2,0.0,3826.4,3707.1,119.3,68.8,1203.1,1427.5,-224.4,0.0,334.8,-559.2,1291.3,549.7,3895.5,2.7,44.6,1.87,4.65,17.23,3.2,0.9,741.6,0.1,0.0,1963.92,services,Distributors/Wholesalers,Xero,577,2019-09-02 11:16:50,2020-10-06 21:19:09,2019-08-06 11:44:15,,2020-12-10 22:08:51,2020-12-10 22:08:51,96.0,Completed,NZL,115.98,1.0,0.0,0.0,1821.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT4577,0.0,0.0,1.0,4.0,9.0,0,2.639,0.0,0.0,0.0,2.0,11.0,0,2.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,0,0.0,6.0,0.0,30.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,272024.98,37423.97,0.0,3607.2311594202897,800.1437971014492,0.0,585.2308985507246,217.96855072463765,1745124.42,529085.09,10433.85,444491.11,95027.83,1602393.54,531476.9,2297.04,557414.91,-23640.97,,,,,,0.0,15176.0,588.0,1491.0,0.0,0.0,1643.0,0.0,0.0,552.0,0.0,0.0,0.0,22680.0,152145.0,10272.0,2999.0,6613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5712.729,5903.271,265794.18,291211.39,267460.03,274997.22,218807.54,190143.69,5903.3,5712.7,190.5,-6216.2,1522.0,2109.1,-587.1,0.0,879.2,-1466.3,20509.0,2054.1,-62636.8,1.7,89.5,3.86,9.63,2.81,41.8,2.1,18455.0,0.0,0.1,29121.1,26579.4,2541.7,-6406.8,18655.9,18257.9,398.0,0.0,3286.8,-2888.8,20916.1,2375.2,-61020.5,7.8,239.2,0.21,1.55,5.68,3.4,0.3,18541.0,0.0,0.1,9867.69,Commercial Cleaning Services,B2B Service Provider,Xero,1009,2020-03-13 10:36:13,2020-06-11 09:00:03,2020-03-13 18:26:15,,2020-12-10 18:52:05,2020-12-10 18:52:05,514.0,Completed,NZL,573.74,3.0,0.0,0.0,0.0,-137782.04,252087.93,0.0,324711.31,194574.2,0.0,381503.47,841.67,-3787.94,129067.83,125279.89,256223.58,137647.58,-12230.0,256223.58
FT4576,0.0,0.0,0.0,2.0,16.0,0,5.512,0.0,0.0,0.0,3.0,8.0,0,43.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,14.0,0.0,0.0,0,20000.0,6.0,108.0,84.0,55.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,0.0,54980.24,6210.0,1512.2528695652177,166.45089855072465,0.0,396.4978260869565,-216.46315942028983,449092.53,995.28,32318.4,154379.27,-121065.59,548296.37,121352.13,0.0,128518.3,-7166.17,584501.67,130035.64,0.0,103097.38,26938.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6852.248,9214.777,131508.79,130192.52,133528.89,152028.98,144046.52,221179.06,14715.1,14620.9,94.2,-8563.3,9071.3,7714.7,1356.6,0.0,894.8,461.9,-10.9,0.0,-6656.6,1.1,646.5,1.5,0.51,8.33,0.0,0.0,-10.9,-0.1,-0.1,11929.3,12060.9,-131.6,-8657.5,1470.6,4910.1,-3439.5,0.0,1441.6,-4881.1,-1913.7,0.0,-3749.5,1.1,-59.9,23.39,33.19,156.22,-3.9,0.0,-1913.7,-0.2,-0.1,7141.5,Joinery,Trades/Construction,Xero,203,2020-12-01 11:37:42,2020-12-01 11:21:08,2020-12-01 11:28:38,,2020-12-10 02:14:09,2020-12-10 02:14:09,681.0,Completed,NZL,820.67,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT4575,0.0,0.0,1.0,2.0,9.0,0,0.339,0.0,0.0,0.0,1.0,2.0,0,20.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0,49000.0,6.0,30.0,30.0,30.0,0,0.0,0.0,0.0,Residential,640000.0,335000.0,305000.0,0,0.0,0.0,0.0,COMPANY,"Electricity, Gas, Water and Waste Services",0.0,0.0,0.0,1368.9911627906977,252.13453488372093,0.0,144.21854651162792,107.91598837209304,722384.47,84417.5,-4050.8,120976.84,-40610.14,708379.82,222690.85,0.0,240032.93,-17342.08,714885.97,261719.34,0.0,261921.34,-202.0,0.0,23796.0,27634.0,33171.0,3415.0,24955.0,730.0,2400.0,0.0,0.0,562.0,0.0,0.0,17152.0,46594.0,2004.0,2684.0,115.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,0.0,862.5188888888889,1920.4211111111117,60250.23,32446.18,72330.49,89109.01,111266.91,217322.07,1920.4444444444443,862.5555555555555,1057.888888888889,1335.0,1757.888888888889,1076.2222222222222,681.6666666666666,0.0,75.88888888888889,605.7777777777778,9984.333333333334,13204.555555555557,-4671.0,0.8888888888888888,219.77777777777777,4.311111111111111,3.8333333333333335,17.288888888888888,19.55555555555556,39.44444444444444,-3220.222222222222,0.1111111111111111,0.0,3605.1111111111113,6694.444444444444,-3089.333333333333,277.1111111111111,6213.777777777777,4045.222222222222,2168.555555555556,0.0,797.0,1371.4444444444443,9883.222222222224,12783.666666666666,-5276.777777777777,3.6666666666666665,195.44444444444449,3.8777777777777778,2.455555555555556,34.65555555555555,5.333333333333333,8.777777777777779,-2900.4444444444443,0.1111111111111111,0.0,1276.49,Plumbing Services,Trades/Construction,Xero,1261,,2020-12-09 09:43:07,2020-12-09 11:49:36,,2020-12-09 22:34:33,2020-12-09 22:34:33,60.0,Completed,NZL,60.23,0.0,0.0,0.0,0.0,12433.48,42694.79,18059.2,42694.79,55238.48,0.0,138366.75,89762.67,48062.33,152089.61,200151.94,-61785.19,18377.33,-80597.52,-61785.19
