quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT1905,0.0,0.0,0.0,2.0,7.0,0,23.835,0.0,0.0,0.0,2.0,7.0,0,4.798,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0,1100.0,6.0,0.0,60.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,42653.22,6865.01,0.0,2477.562105263158,1270.7907017543862,0.0,1345.3550877192984,-74.56438596491228,369938.65,217091.57,0.0,158209.86,58881.71,263011.36,132064.47,0.0,141749.35,-9684.88,200777.57,85785.33,0.0,103165.58,-17380.25,0.0,0.0,0.0,0.0,388.0,0.0,28335.0,11325.0,6445.0,1750.0,670.0,115.0,0.0,0.0,0.0,0.0,0.0,1651.0,0.0,0.0,31662.0,2576.0,0.0,0.0,0.0,0.0,136.72115384615384,209.74076923076925,52882.13,41628.29,27967.45,40631.03,65832.42,33362.84,2037.923076923077,1186.6923076923076,851.2307692307693,-466.0769230769231,1174.0384615384614,637.4230769230769,536.6153846153846,0.0,777.9230769230769,-241.30769230769232,1292.6923076923076,1668.0,-475.96153846153845,6.884615384615385,6.461538461538462,1.757692307692308,0.7923076923076924,23.4,1.3076923076923077,1.4230769230769231,-375.3076923076923,0.3461538461538461,0.0,1505.6923076923076,1938.5384615384612,-432.84615384615387,-1317.2692307692307,1170.2307692307693,263.61538461538464,906.6153846153846,0.0,595.8846153846154,310.6923076923077,1403.8846153846157,794.0384615384615,-234.65384615384616,6.884615384615385,6.384615384615385,2.980769230769231,1.0230769230769232,61.11153846153847,1.4230769230769231,1.1153846153846154,609.8461538461538,-0.0769230769230769,0.0,405.72,Food Product Manufacturing,Other,Xero,169,2019-08-28 15:48:10,2020-01-20 13:52:02,2020-01-20 13:55:16,,2020-02-26 12:20:14,2020-02-26 12:20:14,31.0,Completed,NZL,50.93,1.0,0.0,0.0,1887.84,-12265.74,33415.03,11709.32,63427.5,36009.95,0.0,87171.71,43746.59,50632.42,94698.47,145330.89,-58159.18,3369.31,-61628.49,-58159.18
FT1904,0.0,0.0,0.0,2.0,7.0,0,23.835,0.0,0.0,0.0,2.0,7.0,0,4.798,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0,1100.0,6.0,0.0,60.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,42653.22,6865.01,0.0,2477.562105263158,1270.7907017543862,0.0,1345.3550877192984,-74.56438596491228,369938.65,217091.57,0.0,158209.86,58881.71,263011.36,132064.47,0.0,141749.35,-9684.88,200777.57,85785.33,0.0,103165.58,-17380.25,0.0,0.0,0.0,0.0,388.0,0.0,28335.0,11325.0,6445.0,1750.0,670.0,115.0,0.0,0.0,0.0,0.0,0.0,1651.0,0.0,0.0,31662.0,2576.0,0.0,0.0,0.0,0.0,136.72115384615384,209.74076923076925,52882.13,41628.29,27967.45,40631.03,65832.42,33362.84,2037.923076923077,1186.6923076923076,851.2307692307693,-466.0769230769231,1174.0384615384614,637.4230769230769,536.6153846153846,0.0,777.9230769230769,-241.30769230769232,1292.6923076923076,1668.0,-475.96153846153845,6.884615384615385,6.461538461538462,1.757692307692308,0.7923076923076924,23.4,1.3076923076923077,1.4230769230769231,-375.3076923076923,0.3461538461538461,0.0,1505.6923076923076,1938.5384615384612,-432.84615384615387,-1317.2692307692307,1170.2307692307693,263.61538461538464,906.6153846153846,0.0,595.8846153846154,310.6923076923077,1403.8846153846157,794.0384615384615,-234.65384615384616,6.884615384615385,6.384615384615385,2.980769230769231,1.0230769230769232,61.11153846153847,1.4230769230769231,1.1153846153846154,609.8461538461538,-0.0769230769230769,0.0,874.58,Food Product Manufacturing,Other,Xero,169,2019-08-28 15:48:10,2020-01-20 13:52:02,2020-01-20 13:55:16,,2020-02-26 12:20:14,2020-02-26 12:20:14,44.0,Completed,NZL,63.56,1.0,0.0,0.0,2293.56,-12265.74,33415.03,11709.32,63427.5,36009.95,0.0,87171.71,43746.59,50632.42,94698.47,145330.89,-58159.18,3369.31,-61628.49,-58159.18
FT1903,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,555.82,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,44.0,Completed,NZL,44.06,0.0,0.0,0.0,0.0,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1902,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,239.13,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,42.0,Completed,NZL,42.4,0.0,0.0,0.0,555.82,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1901,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,161.77,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,41.0,Completed,NZL,41.18,0.0,0.0,0.0,794.95,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1900,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,283.15,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,43.0,Completed,NZL,42.84,0.0,0.0,0.0,956.72,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1899,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,538.21,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,44.0,Completed,NZL,43.93,0.0,0.0,0.0,1239.87,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1898,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,387.69,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,43.0,Completed,NZL,42.83,0.0,0.0,0.0,1778.08,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1897,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,1800.44,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,81.0,Completed,NZL,101.39,0.0,0.0,0.0,2165.77,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
FT1896,0.0,0.0,0.0,6.0,6.0,0,41.499,0.0,0.0,0.0,4.0,1.0,0,34.896,0.0,0.0,0.0,9.0,2.0,894.0,72.254,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,12604.89,0.0,0.0,1301.662105263158,-260.2538596491228,0.0,218.79912280701757,-479.05298245614034,60235.11,-43584.08,0.0,563.1,-44147.18,,,,,,,,,,,0.0,0.0,0.0,0.0,21405.0,0.0,6285.0,370.0,0.0,8244.0,7859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9466.0,0.0,0.0,0.0,0.0,0.0,776.08,469.8723076923077,31360.1,35992.59,15872.58,12559.37,51989.2,55857.14,1288.5384615384614,1292.576923076923,-4.038461538461538,302.65384615384613,678.2692307692307,556.1923076923077,122.03846153846152,0.0,125.46153846153848,-3.423076923076923,825.6923076923077,2767.4615384615386,-2384.8076923076924,0.9230769230769232,28.76923076923077,0.6923076923076923,0.0192307692307692,0.0653846153846153,1.4615384615384617,4.846153846153846,-1941.7692307692307,0.0,0.0,1384.3461538461538,1206.1538461538462,178.15384615384616,306.6923076923077,449.9230769230769,531.1538461538462,-81.23076923076923,0.0,-28.615384615384617,-52.61538461538461,557.1153846153846,2633.076923076923,-2416.038461538461,1.0384615384615383,16.653846153846153,0.6961538461538462,0.4499999999999999,1.0038461538461538,1.4615384615384617,6.230769230769231,-2075.9615384615386,0.0,0.0,440.13,Other Goods Wholesaling,Distributors/Wholesalers,Xero,466,2019-08-29 10:02:27,2019-04-25 10:10:40,2019-04-25 14:00:04,,2020-02-26 12:21:12,2020-02-26 12:21:12,45.0,Completed,NZL,44.82,0.0,0.0,0.0,3966.21,7869.0,21468.33,20197.95,20774.4,0.0,0.0,28643.4,21952.75,42150.7,0.0,42150.7,-13507.3,-3339.25,-11818.74,-13507.3
