quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT2940,0.0,0.0,0.0,11.0,5.0,0,5.37,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,316192.58,18858.74,0.0,8715.159107142857,1807.0385714285717,0.0,1619.2576785714284,-69.28071428571428,430459.87,139694.25,0.0,160745.58,-40049.41,,,,,,,,,,,0.0,5369.0,18859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13723.0,30933.0,5284.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2672,714.0260000000001,99499.28,105168.47,69849.72,45462.97,77620.59,99420.77,1905.08,2018.72,-113.68,-170.48,2240.64,353.84,1886.8,0.0,551.4,1335.4,2869.32,252.56,-426.92,1.48,60.56,3.3680000000000003,2.384,150.148,1.6,0.36,2616.8,0.04,0.04,4100.72,3873.96,226.76,-56.8,1588.16,1644.52,-56.32,0.0,1047.28,-1103.64,1860.76,894.76,-1762.32,0.88,72.2,0.14,2.78,30.06,1.44,0.4,966.0,0.04,0.04,2898.0,Digital Agency,B2B Service Provider,Xero,207,2019-08-26 16:30:32,2019-06-26 12:58:45,,,2020-02-25 10:41:13,2020-02-25 10:41:13,181.0,Completed,NZL,200.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2939,0.0,0.0,0.0,11.0,5.0,0,5.37,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,316192.58,18858.74,0.0,8715.159107142857,1807.0385714285717,0.0,1619.2576785714284,-69.28071428571428,430459.87,139694.25,0.0,160745.58,-40049.41,,,,,,,,,,,0.0,5369.0,18859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13723.0,30933.0,5284.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2672,714.0260000000001,99499.28,105168.47,69849.72,45462.97,77620.59,99420.77,1905.08,2018.72,-113.68,-170.48,2240.64,353.84,1886.8,0.0,551.4,1335.4,2869.32,252.56,-426.92,1.48,60.56,3.3680000000000003,2.384,150.148,1.6,0.36,2616.8,0.04,0.04,4100.72,3873.96,226.76,-56.8,1588.16,1644.52,-56.32,0.0,1047.28,-1103.64,1860.76,894.76,-1762.32,0.88,72.2,0.14,2.78,30.06,1.44,0.4,966.0,0.04,0.04,1125.0,Digital Agency,B2B Service Provider,Xero,207,2019-08-26 16:30:32,2019-06-26 12:58:45,,,2020-02-25 10:41:13,2020-02-25 10:41:13,54.0,Completed,NZL,54.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2938,0.0,0.0,0.0,8.0,13.0,0,7.529,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0,403000.0,6.0,68.0,46.0,30.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,0.0,0.0,0.0,19226.42535714286,19141.669464285715,0.0,18552.297142857144,589.3723214285714,0.0,0.0,0.0,778.61,-778.61,,,,,,,,,,,0.0,42138.0,33268.0,63344.0,65446.0,9987.0,45260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91463.0,520.0,13500.0,0.0,0.0,0.0,427500.0,0.0,0.0,0.0,0.0,0.0,1438.0448,1080.0,138571.08,153425.36,147617.65,118149.38,210684.55,243268.68,2707.8,3274.36,-566.56,41.16,5268.84,0.0,5268.84,0.0,5098.12,170.68,22407.36,13118.8,-91.72,0.4,526.88,4.0,0.128,89.34,5.28,3.2,9288.52,0.04,0.0,6137.0,5542.84,594.16,607.72,5005.64,0.0,5005.64,0.0,5334.76,-329.12,17953.24,9577.52,-262.4,0.24,834.28,4.0,0.264,60.2,4.44,2.24,8375.72,0.08,0.0,39600.0,Carpentry & Construction,Trades/Construction,Xero,885,2020-01-17 11:26:27,2020-01-17 11:14:31,,,2020-02-25 10:42:11,2020-02-25 10:42:11,0.0,Not Approved,NZL,22717.26,0.0,0.0,0.0,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2937,0.0,0.0,0.0,0.0,14.0,0,12.884,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,102358.17,0.0,0.0,3233.685535714286,3233.685535714286,0.0,1565.6217857142858,1668.06375,0.0,0.0,0.0,877.5,-877.5,,,,,,,,,,,0.0,10304.0,2516.0,2492.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1252.9284,3178.0524,41109.86,32099.8,191726.22,206161.7,56216.96,51828.76,5049.72,2757.48,2292.28,2820.8,1321.36,0.0,1321.36,0.0,230.44,1090.96,667.48,472.88,-1048.28,0.2,264.28,4.0,3.304,49.956,0.64,2.56,194.64,0.04,0.0,1276.32,1636.72,-360.4,528.56,305.6,0.0,305.6,0.0,176.92,128.68,71.36,269.48,-1314.0,0.08,152.8,4.0,1.6840000000000002,4.7,0.28,1.88,-198.12,0.0,0.0,8089.05,0,Other,Xero,372,2019-09-02 10:06:32,2019-02-25 13:46:26,,,2020-02-25 10:43:10,2020-02-25 10:43:10,415.0,Completed,NZL,414.92,0.0,0.0,0.0,0.0,70520.36,16687.43,12556.56,-57225.74,1324.03,0.0,14618.65,12086.39,25917.39,16475.58,42392.97,-27774.32,102866.06,0.0,-27774.32
FT2936,0.0,0.0,0.0,17.0,1.0,0,35.506,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Administrative and Support services,0.0,0.0,0.0,5001.609285714286,5001.609285714286,0.0,5172.830535714286,-171.22125,560124.98,560124.98,0.0,448495.1,111629.88,577915.14,577915.14,0.0,571942.82,5972.32,616160.18,616160.18,0.0,539203.67,76956.51,0.0,0.0,483.0,622.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30283.0,7815.0,6938.0,2413.0,0.0,0.0,1263.0,342.0,0.0,0.0,0.0,0.0,3788.5668,3684.1548,50957.99,52608.5,60185.92,50944.39,80298.85,87655.67,1796.64,1878.0,-81.36,-1564.88,1448.32,0.0,1448.32,0.0,1558.12,-109.8,2173.72,92.84,1396.44,0.28,205.4,4.0,0.304,3.776,1.88,0.08,2080.92,0.04,0.28,1116.84,1050.8,66.04,-1483.52,1388.0,0.0,1388.0,0.0,1019.0,369.0,2264.8,144.44,1506.24,0.4,130.0,4.0,1.064,11.76,2.04,0.16,2120.4,0.04,0.28,13972.5,Advertising & Marketing,B2B Service Provider,Xero,884,2020-01-16 11:45:53,2020-01-16 11:12:26,,,2020-02-25 10:44:13,2020-02-25 10:44:13,0.0,Not Approved,NZL,8111.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2935,0.0,0.0,0.0,8.0,4.0,0,11.612,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Wholesale Trade,0.0,0.0,0.0,1267.6560714285715,1267.6560714285715,0.0,0.0,1267.6560714285715,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2839.56,0.0,2839.56,0.0,0.0,2839.56,3265.48,0.0,2839.56,0.16,709.88,4.0,4.0,48.0,1.44,0.0,3265.48,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8190.0,Online Retailing,Distributors/Wholesalers,Xero,855,,2019-12-18 14:45:12,,,2020-02-25 10:45:10,2020-02-25 10:45:10,0.0,Not Approved,NZL,4642.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT2933,0.0,0.0,0.0,6.0,1.0,0,9.19,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0,151000.0,8.0,51.0,47.0,44.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,447939.89,43142.77,1734.3,17689.886785714287,7762.9373214285715,0.0,7804.46375,-18.937857142857144,1427331.23,472187.91,904.15,574799.3,-101707.24,1318632.58,396745.27,5381.8,370089.6,32037.47,1098594.56,692742.24,0.0,656441.41,36300.83,0.0,54733.0,14296.0,30303.0,18204.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24090.0,35167.0,7188.0,13026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.0588,2924.0752,210187.08,220151.54,211389.5,213883.28,241061.93,239172.13,6231.96,6535.8,-303.84,-1781.6,3322.48,1819.48,1503.0,4.0,1674.68,-167.64,3689.24,4976.68,-2101.2,2.64,50.4,1.812,0.2,3.832,1.36,1.76,-1287.44,0.0,-0.08,6848.0,6449.44,398.56,-1477.76,2659.32,1631.96,1027.36,12.0,1638.4,-599.04,2466.16,3656.56,-1933.52,2.44,43.8,1.556,0.8959999999999999,14.872,1.16,1.4,-1190.4,0.0,-0.12,972.9,Electricians,Trades/Construction,Xero,339,2019-01-30 16:12:08,2019-01-31 20:12:27,,,2020-02-25 10:47:20,2020-02-25 10:47:20,11.0,Completed,NZL,51.24,2.0,0.0,0.0,0.0,-24659.23,89735.15,102927.57,191894.75,45722.07,113273.08,326230.67,129931.2,193386.38,47832.76,241219.14,85011.53,61611.16,-57689.63,85011.53
FT2932,0.0,0.0,0.0,6.0,1.0,0,9.19,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0,151000.0,8.0,51.0,47.0,44.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,447939.89,43142.77,1734.3,17689.886785714287,7762.9373214285715,0.0,7804.46375,-18.937857142857144,1427331.23,472187.91,904.15,574799.3,-101707.24,1318632.58,396745.27,5381.8,370089.6,32037.47,1098594.56,692742.24,0.0,656441.41,36300.83,0.0,54733.0,14296.0,30303.0,18204.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24090.0,35167.0,7188.0,13026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.0588,2924.0752,210187.08,220151.54,211389.5,213883.28,241061.93,239172.13,6231.96,6535.8,-303.84,-1781.6,3322.48,1819.48,1503.0,4.0,1674.68,-167.64,3689.24,4976.68,-2101.2,2.64,50.4,1.812,0.2,3.832,1.36,1.76,-1287.44,0.0,-0.08,6848.0,6449.44,398.56,-1477.76,2659.32,1631.96,1027.36,12.0,1638.4,-599.04,2466.16,3656.56,-1933.52,2.44,43.8,1.556,0.8959999999999999,14.872,1.16,1.4,-1190.4,0.0,-0.12,1334.25,Electricians,Trades/Construction,Xero,339,2019-01-30 16:12:08,2019-01-31 20:12:27,,,2020-02-25 10:47:20,2020-02-25 10:47:20,-52.0,Completed,NZL,147.84,10.0,7.0,0.0,0.0,-24659.23,89735.15,102927.57,191894.75,45722.07,113273.08,326230.67,129931.2,193386.38,47832.76,241219.14,85011.53,61611.16,-57689.63,85011.53
FT2931,0.0,0.0,0.0,6.0,1.0,0,9.19,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0,151000.0,8.0,51.0,47.0,44.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,447939.89,43142.77,1734.3,17689.886785714287,7762.9373214285715,0.0,7804.46375,-18.937857142857144,1427331.23,472187.91,904.15,574799.3,-101707.24,1318632.58,396745.27,5381.8,370089.6,32037.47,1098594.56,692742.24,0.0,656441.41,36300.83,0.0,54733.0,14296.0,30303.0,18204.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24090.0,35167.0,7188.0,13026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.0588,2924.0752,210187.08,220151.54,211389.5,213883.28,241061.93,239172.13,6231.96,6535.8,-303.84,-1781.6,3322.48,1819.48,1503.0,4.0,1674.68,-167.64,3689.24,4976.68,-2101.2,2.64,50.4,1.812,0.2,3.832,1.36,1.76,-1287.44,0.0,-0.08,6848.0,6449.44,398.56,-1477.76,2659.32,1631.96,1027.36,12.0,1638.4,-599.04,2466.16,3656.56,-1933.52,2.44,43.8,1.556,0.8959999999999999,14.872,1.16,1.4,-1190.4,0.0,-0.12,2332.39,Electricians,Trades/Construction,Xero,339,2019-01-30 16:12:08,2019-01-31 20:12:27,,,2020-02-25 10:47:20,2020-02-25 10:47:20,108.0,Completed,NZL,208.39,5.0,4.0,0.0,0.0,-24659.23,89735.15,102927.57,191894.75,45722.07,113273.08,326230.67,129931.2,193386.38,47832.76,241219.14,85011.53,61611.16,-57689.63,85011.53
FT2930,0.0,0.0,0.0,6.0,1.0,0,9.19,0.0,0.0,0.0,2.0,3.0,0,2.258,0.0,0.0,0.0,9.0,2.0,894.0,72.254,1.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0,151000.0,8.0,51.0,47.0,44.0,"Residential, Dwelling, av",0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,0,447939.89,43142.77,1734.3,17689.886785714287,7762.9373214285715,0.0,7804.46375,-18.937857142857144,1427331.23,472187.91,904.15,574799.3,-101707.24,1318632.58,396745.27,5381.8,370089.6,32037.47,1098594.56,692742.24,0.0,656441.41,36300.83,0.0,54733.0,14296.0,30303.0,18204.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24090.0,35167.0,7188.0,13026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3097.0588,2924.0752,210187.08,220151.54,211389.5,213883.28,241061.93,239172.13,6231.96,6535.8,-303.84,-1781.6,3322.48,1819.48,1503.0,4.0,1674.68,-167.64,3689.24,4976.68,-2101.2,2.64,50.4,1.812,0.2,3.832,1.36,1.76,-1287.44,0.0,-0.08,6848.0,6449.44,398.56,-1477.76,2659.32,1631.96,1027.36,12.0,1638.4,-599.04,2466.16,3656.56,-1933.52,2.44,43.8,1.556,0.8959999999999999,14.872,1.16,1.4,-1190.4,0.0,-0.12,2209.12,Electricians,Trades/Construction,Xero,339,2019-01-30 16:12:08,2019-01-31 20:12:27,,,2020-02-25 10:47:20,2020-02-25 10:47:20,123.0,Completed,NZL,142.57,1.0,0.0,0.0,0.0,-24659.23,89735.15,102927.57,191894.75,45722.07,113273.08,326230.67,129931.2,193386.38,47832.76,241219.14,85011.53,61611.16,-57689.63,85011.53
