quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT3725,0.0,0.0,0.0,2.0,3.0,0,10.928,0.0,0.0,0.0,2.0,1.0,0,41.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0,0.0,6.0,30.0,30.0,30.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,"Professional, Scientific and Technical Services",390183.3,0.0,0.0,1347.0570555555555,1148.8470555555557,0.0,1007.4661111111112,141.38094444444445,1248917.91,1102031.53,0.0,768219.33,333812.2,1234310.84,1017064.95,0.0,1037240.74,-20175.79,1451301.06,1245867.04,5188.17,1269017.98,-17962.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14591.0,54304.0,4514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3306.784642857143,3757.3732142857134,143081.93,98209.5,186542.04,147156.11,166900.49,255557.81,3757.357142857143,3306.785714285714,450.57142857142856,-313.85714285714283,1079.857142857143,348.0357142857143,731.8214285714286,0.0,590.75,141.10714285714286,2654.3571428571427,539.3214285714286,1989.7142857142856,0.4285714285714285,90.0,2.4214285714285717,0.4678571428571428,3.039285714285714,2.642857142857143,0.6071428571428571,2115.035714285714,0.0714285714285714,0.0357142857142857,3507.5,5110.071428571428,-1602.571428571429,-764.4285714285714,3404.8214285714284,785.7857142857143,2619.0714285714284,0.0,3091.1428571428573,-472.1071428571428,5185.964285714285,1574.357142857143,2195.964285714286,0.6785714285714286,179.21428571428572,2.7464285714285714,0.4964285714285714,9.214285714285714,1.6785714285714286,0.4642857142857143,3611.571428571429,0.0714285714285714,0.0357142857142857,5589.0,0,Consultants,Xero,371,2019-02-27 15:18:17,2020-03-25 10:13:35,2020-03-25 10:14:01,,2020-06-28 21:42:05,2020-06-28 21:42:05,243.0,Completed,NZL,342.83,5.0,0.0,0.0,18412.65,-18997.19,191954.93,-272065.83,191954.93,24520.16,3478.26,200956.16,79239.41,120535.02,39514.72,160049.74,40906.42,154310.17,-24575.14,40906.42
FT3724,0.0,0.0,0.0,22.0,6.0,0,26.218,0.0,0.0,0.0,4.0,2.0,0,6.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0,31000.0,6.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Information Media and Telecommunication,340184.91,0.0,0.0,2389.173163841808,2168.233502824859,0.0,1963.0990960451977,205.13440677966105,3064257.93,2924204.3,47264.13,3282898.11,-311429.68,3887374.82,3649196.72,42843.42,3234408.41,387395.13,3107808.04,2955568.99,34731.45,1986572.81,720468.71,0.0,12331.0,5276.0,5158.0,1516.0,1516.0,885.0,0.0,0.0,0.0,0.0,5581.0,0.0,116474.0,4623.0,1739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5030.94,7504.895600000001,319203.76,260080.12,356620.73,279301.49,279851.4,463847.61,7504.88,5030.96,2473.96,-2395.52,7716.16,485.2,7230.96,0.0,359.16,6871.8,7644.56,2163.2,36815.24,0.84,367.32,3.748,3.564,8.96,1.2,3.08,5481.36,0.0,0.08,10245.24,12610.2,-2364.96,-4869.48,4956.12,548.92,4407.2,0.0,6266.44,-1859.24,3222.84,2317.52,29943.44,1.04,190.52,3.556,1.5,2.98,0.8,0.44,905.32,0.0,0.08,38512.35,Creative Digital Agency,B2B Service Provider,Xero,538,2019-08-26 13:20:04,2019-06-25 13:19:55,2019-06-26 13:49:48,,2020-06-25 21:25:40,2020-06-25 21:25:40,2166.0,Completed,NZL,2186.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT3723,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,115.92,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,21.0,Completed,NZL,41.48,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3722,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,105.57,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,21.0,Completed,NZL,41.35,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3721,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,123.17,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,22.0,Completed,NZL,41.57,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3720,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,290.84,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,24.0,Completed,NZL,43.72,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3719,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,249.44,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,23.0,Completed,NZL,43.19,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3718,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,284.63,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,24.0,Completed,NZL,43.64,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3717,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,311.54,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,24.0,Completed,NZL,43.98,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
FT3716,0.0,0.0,0.0,6.0,6.0,0,2.071,0.0,0.0,0.0,7.0,9.0,0,20.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,18.0,0.0,0.0,0,4000.0,6.0,30.0,46.0,48.0,Residential,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,44193.94,7305.69,7305.69,1158.5823163841808,947.9762711864406,0.0,1091.039209039548,168.03988700564972,1803193.86,1264204.98,0.0,1239370.63,24834.35,1907833.99,1324917.33,0.0,1342600.02,-17682.69,2270206.34,1523193.39,4712.26,1426142.28,101763.37,0.0,76102.0,40689.0,41647.0,47150.0,0.0,0.0,4724.0,0.0,0.0,0.0,0.0,0.0,20929.0,15730.0,466.0,3815.0,1746.0,0.0,0.0,101.0,626.0,0.0,0.0,0.0,0.0,4505.3412,5684.6004,144554.62,132995.4,70951.96,32429.5,155479.48,207146.49,5684.6,4767.96,916.64,702.56,3617.36,75.2,3542.16,749.84,2062.52,2229.48,3613.44,8625.4,-757.0,8.68,16.72,3.932,2.044,141.364,1.0,4.84,-5011.96,0.0,-0.04,5319.8,5782.2,-462.36,-214.08,3895.48,1034.44,2861.04,749.84,2927.6,683.28,3289.56,10657.2,-2986.48,7.0,22.12,3.108,0.588,10.98,0.88,3.32,-7367.6,0.0,-0.04,294.98,Digital printing,B2B Service Provider,Xero,849,2019-12-17 13:01:27,2019-12-17 13:11:51,2019-12-18 09:31:13,,2020-06-25 02:10:36,2020-06-25 02:10:36,24.0,Completed,NZL,43.77,1.0,0.0,0.0,0.0,427.38,29811.11,14034.43,45701.34,54946.29,140.0,101215.01,271319.83,426305.02,-161088.64,265216.38,-164001.37,-44325.45,-119675.92,-164001.37
