quote,consumer_credit_judgements_guar1,consumer_credit_insolvency_notices_guar1,consumer_credit_credit_defaults_guar1,consumer_credit_company_affiliations_guar1,consumer_credit_file_activity_guar1,consumer_credit_score_guar1,consumer_credit_risk_odds_guar1,consumer_credit_judgements_guar2,consumer_credit_insolvency_notices_guar2,consumer_credit_credit_defaults_guar2,consumer_credit_company_affiliations_guar2,consumer_credit_file_activity_guar2,consumer_credit_score_guar2,consumer_credit_risk_odds_guar2,consumer_credit_judgements_guar3,consumer_credit_insolvency_notices_guar3,consumer_credit_credit_defaults_guar3,consumer_credit_company_affiliations_guar3,consumer_credit_file_activity_guar3,consumer_credit_score_guar3,consumer_credit_risk_odds_guar3,commercial_credit_directors,commercial_credit_judgements,commercial_credit_credit_defaults,commercial_credit_insolvencies,commercial_credit_credit_activity,commercial_credit_ppsr,commercial_credit_notifications,commercial_credit_public_notices,commercial_credit_score,commercial_credit_credit_limit,commercial_credit_suppliers,commercial_credit_dso_current,commercial_credit_dso_one_month,commercial_credit_dso_two_months,director_property_type_d1,director_property_rateable_value_d1,director_property_improvements_d1,director_property_land_value_d1,director_property_type_d2,director_property_rateable_value_d2,director_property_improvements_d2,director_property_land_value_d2,director_property_type_d3,director_property_rateable_value_d3,director_property_improvements_d3,director_property_land_value_d3,org_type,industry_classification,prior_fundtap_history_completed_sum,prior_fundtap_history_funded_sum,prior_fundtap_history_due_sum,p_l_total_income_current,p_l_gross_profit_current,p_l_total_other_income_current,p_l_total_operating_expenses_current,p_l_net_profit_current,p_l_total_income_yr1,p_l_gross_profit_yr1,p_l_total_other_income_yr1,p_l_total_operating_expenses_yr1,p_l_net_profit_yr1,p_l_total_income_yr2,p_l_gross_profit_yr2,p_l_total_other_income_yr2,p_l_total_operating_expenses_yr2,p_l_net_profit_yr2,p_l_total_income_yr3,p_l_gross_profit_yr3,p_l_total_other_income_yr3,p_l_total_operating_expenses_yr3,p_l_net_profit_yr3,accounts_payable_total_current_month,accounts_payable_total_one_month_past,accounts_payable_total_two_months_past,accounts_payable_total_three_months_past,accounts_payable_total_four_months_past,accounts_payable_total_five_months_past,accounts_payable_total_six_months_past,accounts_payable_total_seven_months_past,accounts_payable_total_eight_months_past,accounts_payable_total_nine_months_past,accounts_payable_total_ten_months_past,accounts_payable_total_eleven_months_past,accounts_payable_total_twelve_months_past,accounts_receivable_total_current_month,accounts_receivable_total_one_month_past,accounts_receivable_total_two_months_past,accounts_receivable_total_three_months_past,accounts_receivable_total_four_months_past,accounts_receivable_total_five_months_past,accounts_receivable_total_six_months_past,accounts_receivable_total_seven_months_past,accounts_receivable_total_eight_months_past,accounts_receivable_total_nine_months_past,accounts_receivable_total_ten_months_past,accounts_receivable_total_eleven_months_past,accounts_receivable_total_twelve_months_past,bank_summary_total_spent_current,bank_summary_total_received_current,bank_summary_total_spent_m1,bank_summary_total_received_m1,bank_summary_total_spent_m2,bank_summary_total_received_m2,bank_summary_total_spent_m3,bank_summary_total_received_m3,exec_summary_cash_received_current,exec_summary_cash_spent_current,exec_summary_cash_surplus_deficit_current,exec_summary_closing_bank_balance_current,exec_summary_income_current,exec_summary_direct_costs_current,exec_summary_gross_profit_loss_current,exec_summary_other_income_current,exec_summary_expenses_current,exec_summary_profit_loss_current,exec_summary_debtors_current,exec_summary_creditors_current,exec_summary_net_assets_current,exec_summary_number_of_invoices_issued_current,exec_summary_average_value_of_invoices_current,exec_summary_gross_profit_margin_current,exec_summary_net_profit_margin_current,exec_summary_return_on_investment_current,exec_summary_average_debtors_days_current,exec_summary_average_creditors_days_current,exec_summary_short_term_cash_forecast_current,exec_summary_current_assets_to_liabilities_current,exec_summary_term_assets_to_liabilities_current,exec_summary_cash_received_m1,exec_summary_cash_spent_m1,exec_summary_cash_surplus_deficit_m1,exec_summary_closing_bank_balance_m1,exec_summary_income_m1,exec_summary_direct_costs_m1,exec_summary_gross_profit_loss_m1,exec_summary_other_income_m1,exec_summary_expenses_m1,exec_summary_profit_loss_m1,exec_summary_debtors_m1,exec_summary_creditors_m1,exec_summary_net_assets_m1,exec_summary_number_of_invoices_issued_m1,exec_summary_average_value_of_invoices_m1,exec_summary_gross_profit_margin_m1,exec_summary_net_profit_margin_m1,exec_summary_return_on_investment_m1,exec_summary_average_debtors_days_m1,exec_summary_average_creditors_days_m1,exec_summary_short_term_cash_forecast_m1,exec_summary_current_assets_to_liabilities_m1,exec_summary_term_assets_to_liabilities_m1,fundtap_loan_principal,line_of_business,customer_type,accounting_software,customer_uid,commercial_credit_report_creation_date,consumer_credit_report_first_creation_date,consumer_credit_report_second_creation_date,consumer_credit_report_third_creation_date,bank_statement_creation_date,xero_report_creation_date,fundtap_profit_loss,fundtap_status,country,fundtap_fee,weeks_past_due,weeks_overdue,weeks_in_default,prior_fundtap_history_pending_sum,total_bank,accounts_receivable,gst,total_current_assets,total_fixed_assets,total_non_current_assets,total_assets,accounts_payable,total_current_liabilities,total_non_current_liabilities,total_liabilities,net_assets,current_year_earnings,retained_earnings,total_equity
FT12879,0.0,0.0,0.0,2.0,16.0,598,0.14,0.0,0.0,0.0,1.0,9.0,566,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Lifestyle,520000.0,285000.0,235000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,90000.4,13734.27,12536.36,1218.0239393939394,1204.7757575757576,137.02242424242422,1211.2700000000002,130.52818181818182,76480.21,73003.81,26956.53,91325.19,8635.15,89601.62,77106.99,29299.26,138201.08,-31794.83,113346.16,112172.04,1757.4,145645.58,-31716.14,1340.0,158.0,0.0,747.0,2749.0,747.0,2247.0,934.0,2747.0,1184.0,3368.0,3453.0,0.0,1413.0,9414.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.71000000000001,214.74857142857144,8412.78,2027.57,23262.97,30744.66,14064.81,14351.39,214.7142857142857,79.71428571428571,135.0,-958.8571428571428,175.57142857142858,0.0,175.57142857142858,0.0,9.714285714285714,165.85714285714286,47.57142857142857,6100.0,-6608.714285714285,0.0,87.71428571428571,14.285714285714286,13.5,4.3,1.1428571428571428,2799.0,-6052.428571428572,0.0,-0.2857142857142857,289.7142857142857,1201.857142857143,-912.1428571428572,-1093.857142857143,1207.2857142857142,0.0,1207.2857142857142,0.0,751.7142857142857,455.57142857142856,-110.57142857142856,5919.857142857143,-6774.571428571428,0.0,109.71428571428572,14.285714285714286,5.385714285714286,11.528571428571428,-0.4285714285714285,31.428571428571427,-6030.428571428572,0.0,-0.2857142857142857,2067.93,0,Trades/Construction,Xero,988,2022-11-03 09:20:32,2022-11-03 09:19:27,2020-03-04 09:02:33,,2023-03-07 06:29:05,2023-03-07 06:29:05,104.0,Completed,NZL,104.18,0.0,0.0,0.0,0.0,-6711.67,333.16,5100.93,333.16,39987.39,0.0,33608.88,42700.38,97968.93,-18099.09,79869.84,-46260.96,8614.86,-54875.82,-46260.96
FT12875,0.0,0.0,0.0,0.0,0.0,791,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Information Media and Telecommunication,156185.86,5172.06,1188.0,5891.520307692308,5151.66123076923,0.009076923076923,5165.898461538462,-14.228153846153846,398299.08,355556.86,4858.76,316236.66,44178.96,383484.61,329759.17,103552.49,395789.16,37522.5,320128.59,297757.39,15202.38,243319.02,69640.75,1070.0,7380.0,4308.0,0.0,4198.0,0.0,0.0,0.0,5240.0,0.0,0.0,0.0,0.0,8863.0,31121.0,0.0,140.0,3546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.01,31036.5,35265.87,64177.77,51827.81,72502.29,84999.62,164.0,0.0,164.0,-4309.666666666667,1342.8333333333333,0.0,1342.8333333333333,0.0,14.5,1328.3333333333333,7289.5,4534.5,24442.166666666668,0.0,335.6666666666667,16.666666666666668,16.483333333333334,10.866666666666667,28.0,1615.0,2755.1666666666665,0.0,1.0,4528.333333333333,3823.5,704.8333333333334,-4473.666666666667,4831.5,748.6666666666666,4082.8333333333335,0.0,5113.0,-1030.1666666666667,5812.5,4356.0,23113.83333333333,0.0,654.5,14.083333333333334,3.5500000000000003,8.916666666666666,5.666666666666667,3.5,1456.5,0.0,1.0,500.0,Technology,B2B Service Provider,Xero,1568,,,,,2023-03-06 01:08:04,2023-03-06 01:08:04,42.0,Completed,AUS,42.05,0.0,0.0,0.0,0.0,-7059.49,43737.15,35534.35,43857.15,6024.95,167867.48,210690.09,27206.56,63037.27,1000.0,64037.27,146652.82,-5474.18,152007.01,146652.83
FT12873,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1082242.11,52004.68,22595.73,33861.37553846154,23589.524307692307,120.0,18638.42723076923,5071.097076923077,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,1773827.74,1233682.92,0.0,1279856.8,-46173.88,15691.0,13361.0,20174.0,16253.0,24.0,0.0,4674.0,0.0,0.0,0.0,0.0,0.0,0.0,39053.0,99556.0,31511.0,30059.0,25647.0,318.0,3772.0,504.0,15857.0,3958.0,3255.0,2835.0,0.0,4227.14,5552.935,179870.72,196224.19,164990.98,147083.77,237210.58,259200.9,5553.0,4339.333333333333,1213.5,10471.5,7492.166666666667,61.833333333333336,7430.333333333333,0.0,4017.8333333333335,3412.5,56562.833333333336,10917.0,53026.66666666666,0.0,156.0,16.533333333333335,7.583333333333333,12.866666666666667,39.0,13.833333333333334,45645.833333333336,0.1666666666666666,-0.1666666666666666,32704.0,29978.5,2725.5,9258.0,31292.33333333333,2412.1666666666665,28880.166666666668,0.0,13513.166666666666,15367.0,53501.0,10781.333333333334,49614.333333333336,0.0,129.5,15.383333333333333,8.183333333333334,61.95,8.0,3.1666666666666665,42719.66666666666,0.1666666666666666,-0.1666666666666666,807.3,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-03-06 10:15:05,2023-03-06 10:15:05,25.0,Completed,NZL,44.79,1.0,0.0,0.0,6011.3,62828.79,339377.24,124825.6,373715.98,158921.46,315.0,595781.23,65502.25,451878.71,-174257.65,277621.06,318160.17,329621.31,-11461.14,318160.17
FT12872,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1082242.11,52004.68,22595.73,33861.37553846154,23589.524307692307,120.0,18638.42723076923,5071.097076923077,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,1773827.74,1233682.92,0.0,1279856.8,-46173.88,15691.0,13361.0,20174.0,16253.0,24.0,0.0,4674.0,0.0,0.0,0.0,0.0,0.0,0.0,39053.0,99556.0,31511.0,30059.0,25647.0,318.0,3772.0,504.0,15857.0,3958.0,3255.0,2835.0,0.0,4227.14,5552.935,179870.72,196224.19,164990.98,147083.77,237210.58,259200.9,5553.0,4339.333333333333,1213.5,10471.5,7492.166666666667,61.833333333333336,7430.333333333333,0.0,4017.8333333333335,3412.5,56562.833333333336,10917.0,53026.66666666666,0.0,156.0,16.533333333333335,7.583333333333333,12.866666666666667,39.0,13.833333333333334,45645.833333333336,0.1666666666666666,-0.1666666666666666,32704.0,29978.5,2725.5,9258.0,31292.33333333333,2412.1666666666665,28880.166666666668,0.0,13513.166666666666,15367.0,53501.0,10781.333333333334,49614.333333333336,0.0,129.5,15.383333333333333,8.183333333333334,61.95,8.0,3.1666666666666665,42719.66666666666,0.1666666666666666,-0.1666666666666666,1021.55,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-03-06 10:15:05,2023-03-06 10:15:05,-51.0,Completed,NZL,49.13,5.0,0.0,0.0,5797.05,62828.79,339377.24,124825.6,373715.98,158921.46,315.0,595781.23,65502.25,451878.71,-174257.65,277621.06,318160.17,329621.31,-11461.14,318160.17
FT12871,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1082242.11,52004.68,22595.73,33861.37553846154,23589.524307692307,120.0,18638.42723076923,5071.097076923077,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,1773827.74,1233682.92,0.0,1279856.8,-46173.88,15691.0,13361.0,20174.0,16253.0,24.0,0.0,4674.0,0.0,0.0,0.0,0.0,0.0,0.0,39053.0,99556.0,31511.0,30059.0,25647.0,318.0,3772.0,504.0,15857.0,3958.0,3255.0,2835.0,0.0,4227.14,5552.935,179870.72,196224.19,164990.98,147083.77,237210.58,259200.9,5553.0,4339.333333333333,1213.5,10471.5,7492.166666666667,61.833333333333336,7430.333333333333,0.0,4017.8333333333335,3412.5,56562.833333333336,10917.0,53026.66666666666,0.0,156.0,16.533333333333335,7.583333333333333,12.866666666666667,39.0,13.833333333333334,45645.833333333336,0.1666666666666666,-0.1666666666666666,32704.0,29978.5,2725.5,9258.0,31292.33333333333,2412.1666666666665,28880.166666666668,0.0,13513.166666666666,15367.0,53501.0,10781.333333333334,49614.333333333336,0.0,129.5,15.383333333333333,8.183333333333334,61.95,8.0,3.1666666666666665,42719.66666666666,0.1666666666666666,-0.1666666666666666,299.12,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-03-06 10:15:05,2023-03-06 10:15:05,0.0,Funded,NZL,46.15,0.0,0.0,0.0,6519.48,62828.79,339377.24,124825.6,373715.98,158921.46,315.0,595781.23,65502.25,451878.71,-174257.65,277621.06,318160.17,329621.31,-11461.14,318160.17
FT12870,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1082242.11,52004.68,22595.73,33861.37553846154,23589.524307692307,120.0,18638.42723076923,5071.097076923077,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,1773827.74,1233682.92,0.0,1279856.8,-46173.88,15691.0,13361.0,20174.0,16253.0,24.0,0.0,4674.0,0.0,0.0,0.0,0.0,0.0,0.0,39053.0,99556.0,31511.0,30059.0,25647.0,318.0,3772.0,504.0,15857.0,3958.0,3255.0,2835.0,0.0,4227.14,5552.935,179870.72,196224.19,164990.98,147083.77,237210.58,259200.9,5553.0,4339.333333333333,1213.5,10471.5,7492.166666666667,61.833333333333336,7430.333333333333,0.0,4017.8333333333335,3412.5,56562.833333333336,10917.0,53026.66666666666,0.0,156.0,16.533333333333335,7.583333333333333,12.866666666666667,39.0,13.833333333333334,45645.833333333336,0.1666666666666666,-0.1666666666666666,32704.0,29978.5,2725.5,9258.0,31292.33333333333,2412.1666666666665,28880.166666666668,0.0,13513.166666666666,15367.0,53501.0,10781.333333333334,49614.333333333336,0.0,129.5,15.383333333333333,8.183333333333334,61.95,8.0,3.1666666666666665,42719.66666666666,0.1666666666666666,-0.1666666666666666,708.98,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-03-06 10:15:05,2023-03-06 10:15:05,0.0,Funded,NZL,54.57,0.0,0.0,0.0,6109.62,62828.79,339377.24,124825.6,373715.98,158921.46,315.0,595781.23,65502.25,451878.71,-174257.65,277621.06,318160.17,329621.31,-11461.14,318160.17
FT12869,0.0,0.0,0.0,10.0,8.0,702,0.07,0.0,0.0,0.0,21.0,1.0,967,0.01,0.0,0.0,0.0,7.0,9.0,751.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Residential,850000.0,160000.0,690000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Other Services,1082242.11,52004.68,22595.73,33861.37553846154,23589.524307692307,120.0,18638.42723076923,5071.097076923077,1713362.23,1289061.29,182236.25,1410524.27,60773.27,1504125.67,1039648.58,133939.6,1126146.67,47441.51,1773827.74,1233682.92,0.0,1279856.8,-46173.88,15691.0,13361.0,20174.0,16253.0,24.0,0.0,4674.0,0.0,0.0,0.0,0.0,0.0,0.0,39053.0,99556.0,31511.0,30059.0,25647.0,318.0,3772.0,504.0,15857.0,3958.0,3255.0,2835.0,0.0,4227.14,5552.935,179870.72,196224.19,164990.98,147083.77,237210.58,259200.9,5553.0,4339.333333333333,1213.5,10471.5,7492.166666666667,61.833333333333336,7430.333333333333,0.0,4017.8333333333335,3412.5,56562.833333333336,10917.0,53026.66666666666,0.0,156.0,16.533333333333335,7.583333333333333,12.866666666666667,39.0,13.833333333333334,45645.833333333336,0.1666666666666666,-0.1666666666666666,32704.0,29978.5,2725.5,9258.0,31292.33333333333,2412.1666666666665,28880.166666666668,0.0,13513.166666666666,15367.0,53501.0,10781.333333333334,49614.333333333336,0.0,129.5,15.383333333333333,8.183333333333334,61.95,8.0,3.1666666666666665,42719.66666666666,0.1666666666666666,-0.1666666666666666,3981.65,Digital printing,B2B Service Provider,Xero,849,2021-11-02 10:23:13,2020-11-02 09:31:14,2022-04-04 13:33:31,2019-12-18 09:31:13,2023-03-06 10:15:05,2023-03-06 10:15:05,0.0,Funded,NZL,258.78,0.0,0.0,0.0,2836.95,62828.79,339377.24,124825.6,373715.98,158921.46,315.0,595781.23,65502.25,451878.71,-174257.65,277621.06,318160.17,329621.31,-11461.14,318160.17
FT12867,0.0,0.0,0.0,2.0,5.0,893,0.01,0.0,0.0,0.0,2.0,2.0,900,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,Construction,26528.09,0.0,0.0,6145.247230769231,4420.916615384615,130.27415384615384,2482.8098461538466,2068.3809230769234,88863.15,69935.01,22026.11,22130.49,69830.63,80951.1,68599.55,24337.66,93649.71,-712.5,79166.1,66112.77,2376.81,68865.95,-376.37,2075.0,21187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1752.0,55054.0,10979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.1083333333333,0.0,51444.06,36236.03,64998.09,53117.2,154117.63,144705.54,0.0,347.1666666666667,-347.1666666666667,-391.0,253.83333333333331,142.16666666666666,111.66666666666669,0.0,158.5,-46.833333333333336,11297.333333333334,3877.1666666666665,33770.166666666664,0.0,253.83333333333331,7.333333333333333,3.083333333333333,0.2833333333333333,229.83333333333331,66.66666666666667,7420.333333333333,-0.1666666666666666,0.1666666666666666,5706.0,8240.666666666666,-2534.6666666666665,-44.0,8078.833333333333,2225.833333333333,5853.0,0.3333333333333333,3368.5,2484.6666666666665,11005.5,3878.3333333333335,33817.0,0.0,807.8333333333334,12.066666666666668,5.133333333333334,14.7,6.333333333333333,3.1666666666666665,7127.166666666667,-0.1666666666666666,0.1666666666666666,9866.25,Building Construction,Trades/Construction,Xero,2630,2022-09-21 09:02:21,2022-09-21 09:01:38,2022-09-21 09:16:16,,2023-03-06 09:07:04,2023-03-06 09:07:04,511.0,Completed,NZL,510.58,0.0,0.0,0.0,0.0,-2346.3,67784.34,6898.46,67784.34,75076.97,0.0,140515.01,23262.54,-117082.42,54976.69,-62105.73,202620.74,134444.76,68175.98,202620.74
FT12866,0.0,0.0,0.0,2.0,7.0,663,0.09,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,788,20000.0,6.0,120.0,59.0,35.0,Residential,760000.0,470000.0,290000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,SOLE TRADER,Construction,232983.0,8526.81,6221.86,1761.5238461538463,1602.055076923077,0.0,1356.8886153846154,245.16646153846156,96593.62,78317.44,0.0,72582.11,5735.33,123427.61,84422.91,0.0,67827.89,16595.02,110971.35,85477.86,0.0,68626.45,16851.41,0.0,2452.0,14326.0,8405.0,8619.0,10755.0,8650.0,0.0,0.0,0.0,0.0,0.0,0.0,17267.0,3883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.9533333333334,2571.125,16289.16,2675.44,15389.91,28393.85,24610.84,22268.2,2571.1666666666665,2519.0,52.16666666666666,-1895.3333333333333,2502.5,125.33333333333331,2377.1666666666665,0.0,542.8333333333334,1834.1666666666667,9207.0,8867.833333333334,6182.166666666667,0.0,1251.1666666666667,15.833333333333334,12.216666666666669,59.333333333333336,19.0,68.5,339.1666666666667,0.3333333333333333,0.0,445.8333333333333,2714.833333333333,-2269.0,-1947.5,562.6666666666666,126.83333333333331,435.8333333333333,0.0,1608.1666666666667,-1172.1666666666667,8838.666666666666,8867.833333333334,4348.0,0.0,281.3333333333333,12.916666666666666,34.71666666666667,53.91666666666666,73.33333333333333,23.83333333333333,-29.166666666666668,0.1666666666666666,0.0,3775.89,Construction and Trades,Trades/Construction,Xero,278,2020-01-29 16:15:21,2022-12-19 10:41:49,,,2023-03-06 12:00:06,2023-03-06 12:00:06,199.0,Completed,NZL,198.85,0.0,0.0,0.0,0.0,-11372.13,55242.39,11325.17,55242.41,139.67,52000.25,96010.2,53207.05,23600.84,35315.99,58916.83,37093.37,15935.82,21157.55,37093.37
FT12865,0.0,0.0,0.0,28.0,4.0,697,0.07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Lifestyle,1250000.0,550000.0,700000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,COMPANY,"Agriculture, Forestry and Fishing",37925.55,416.59,0.0,9308.708307692308,9308.708307692308,21.281692307692307,11487.80323076923,-2157.8132307692304,99117.67,99117.67,26152.17,341163.11,-215893.27,58732.54,58732.54,40896.64,182864.61,-83235.43,118857.47,118857.47,65915.05,167373.56,17398.96,4029.0,11753.0,12281.0,19089.0,6344.0,12225.0,10968.0,1497.0,1452.0,1552.0,834.0,13202.0,0.0,520.0,28316.0,15355.0,9674.0,2298.0,4419.0,4850.0,4720.0,698.0,539.0,1847.0,2100.0,0.0,880.4116666666667,1570.7316666666666,169992.75,188384.6,240186.71,250957.51,212689.86,188314.95,1451.0,760.6666666666666,690.3333333333334,4140.5,147.66666666666666,0.0,147.66666666666666,0.0,1375.5,-1227.8333333333333,11997.0,23181.83333333333,-178990.66666666666,0.0,45.16666666666666,16.666666666666668,138.56666666666666,1.3666666666666665,419.6666666666667,87.0,-11185.0,0.1666666666666666,0.0,18556.0,15490.666666666666,3065.333333333333,3450.1666666666665,10358.166666666666,0.0,10358.166666666666,91.16666666666669,8176.5,2272.833333333333,13267.166666666666,22998.83333333333,-177712.83333333334,0.0,67.66666666666667,16.666666666666668,3.633333333333333,2.5500000000000003,6.0,13.166666666666666,-9731.666666666666,0.1666666666666666,0.0,423.0,0,B2B Service Provider,Xero,2321,2022-05-27 11:00:15,2022-05-27 10:18:27,,,2023-03-06 12:00:06,2023-03-06 12:00:06,21.0,Completed,NZL,40.97,1.0,0.0,0.0,5469.71,24843.4,71981.74,36520.04,99715.26,442427.5,585802.21,1152788.37,75665.46,235970.36,1990761.93,2226732.29,-1073943.92,-147481.25,-552501.58,-1073943.92
